Country Region,Province State,Confirmed,Deaths
Afghanistan,,177321,7657
Albania,,273257,3489
Algeria,,265599,6873
Andorra,,39713,155
Angola,,99081,1900
Antarctica,,11,0
Antigua and Barbuda,,7482,135
Argentina,,9021240,127780
Armenia,,422401,8604
Australia,Australian Capital Territory,71683,39
Australia,New South Wales,1695597,2049
Australia,Northern Territory,47679,33
Australia,Queensland,712260,709
Australia,South Australia,226698,246
Australia,Tasmania,77110,29
Australia,Victoria,1224921,2713
Australia,Western Australia,124525,32
Austria,,3627093,15579
Azerbaijan,,791604,9672
Bahamas,,33242,787
Bahrain,,548866,1466
Bangladesh,,1951072,29118
Barbados,,58128,329
Belarus,,955600,6759
Belgium,Antwerp,589751,0
Belgium,Brussels,424008,0
Belgium,East Flanders,491983,0
Belgium,Flemish Brabant,354637,0
Belgium,Hainaut,426768,0
Belgium,Liege,354481,0
Belgium,Limburg,277012,0
Belgium,Luxembourg,98222,0
Belgium,Namur,165477,0
Belgium,Unknown,54750,30662
Belgium,Walloon Brabant,139493,0
Belgium,West Flanders,394651,0
Belize,,57212,654
Benin,,26952,163
Bhutan,,23814,9
Bolivia,,900557,21484
Bosnia and Herzegovina,,374696,15695
Botswana,,263950,2619
Brazil,Acre,123746,1990
Brazil,Alagoas,295714,6866
Brazil,Amapa,160301,2122
Brazil,Amazonas,580970,14148
Brazil,Bahia,1527992,29646
Brazil,Ceara,1239185,26683
Brazil,Distrito Federal,691014,11569
Brazil,Espirito Santo,1036087,14313
Brazil,Goias,1264990,26201
Brazil,Maranhao,423604,10865
Brazil,Mato Grosso,723464,14852
Brazil,Mato Grosso do Sul,522387,10480
Brazil,Minas Gerais,3310675,60687
Brazil,Para,749526,18066
Brazil,Paraiba,593496,10183
Brazil,Parana,2403986,42869
Brazil,Pernambuco,887237,21333
Brazil,Piaui,367490,7719
Brazil,Rio Grande do Norte,494656,8116
Brazil,Rio Grande do Sul,2256393,38950
Brazil,Rio de Janeiro,2071914,72591
Brazil,Rondonia,389802,7164
Brazil,Roraima,154956,2144
Brazil,Santa Catarina,1666949,21642
Brazil,Sao Paulo,5211936,166955
Brazil,Sergipe,324711,6304
Brazil,Tocantins,302387,4142
Brunei,,129081,200
Bulgaria,,1131065,36396
Burkina Faso,,20813,379
Burma,,610176,19428
Burundi,,38406,38
Cabo Verde,,55941,401
Cambodia,,135285,3054
Cameroon,,119544,1927
Canada,Alberta,536166,4044
Canada,British Columbia,354874,2981
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,134759,1739
Canada,New Brunswick,45101,336
Canada,Newfoundland and Labrador,35293,92
Canada,Northwest Territories,10235,21
Canada,Nova Scotia,51359,232
Canada,Nunavut,3400,5
Canada,Ontario,1155877,12418
Canada,Prince Edward Island,23345,16
Canada,Quebec,951292,14288
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,131028,1209
Canada,Yukon,3705,24
Central African Republic,,14649,113
Chad,,7288,190
Chile,Antofagasta,119855,1732
Chile,Araucania,209154,2480
Chile,Arica y Parinacota,54447,803
Chile,Atacama,63837,562
Chile,Aysen,24150,172
Chile,Biobio,339743,4106
Chile,Coquimbo,121109,1615
Chile,Los Lagos,189291,2238
Chile,Los Rios,103509,1167
Chile,Magallanes,49917,694
Chile,Maule,230274,2773
Chile,Metropolitana,1308931,27800
Chile,Nuble,96084,1044
Chile,OHiggins,144192,2444
Chile,Tarapaca,78592,1075
Chile,Unknown,43,2
Chile,Valparaiso,293019,5440
China,Anhui,1025,6
China,Beijing,1747,9
China,Chongqing,687,6
China,Fujian,2728,1
China,Gansu,667,2
China,Guangdong,6515,8
China,Guangxi,1418,2
China,Guizhou,172,2
China,Hainan,193,6
China,Hebei,1899,7
China,Heilongjiang,2335,13
China,Henan,2758,22
China,Hong Kong,1101224,6770
China,Hubei,68391,4512
China,Hunan,1308,4
China,Inner Mongolia,1677,1
China,Jiangsu,1992,0
China,Jiangxi,1027,1
China,Jilin,22235,5
China,Liaoning,1502,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,32,0
China,Shaanxi,3212,3
China,Shandong,2522,7
China,Shanghai,5135,7
China,Shanxi,300,0
China,Sichuan,1624,3
China,Tianjin,1713,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,2055,2
China,Zhejiang,2645,1
Colombia,Amazonas,7563,264
Colombia,Antioquia,917568,18229
Colombia,Arauca,16292,530
Colombia,Atlantico,401976,10123
Colombia,Bolivar,197077,3238
Colombia,Boyaca,125090,2778
Colombia,Caldas,116889,2525
Colombia,Capital District,1764992,29317
Colombia,Caqueta,24945,1023
Colombia,Casanare,41611,998
Colombia,Cauca,72183,1786
Colombia,Cesar,106374,2667
Colombia,Choco,18582,426
Colombia,Cordoba,118971,3929
Colombia,Cundinamarca,317842,7274
Colombia,Guainia,2760,37
Colombia,Guaviare,5585,105
Colombia,Huila,100266,3509
Colombia,La Guajira,56251,1523
Colombia,Magdalena,114780,3620
Colombia,Meta,104921,2536
Colombia,Narino,104396,3308
Colombia,Norte de Santander,119638,5084
Colombia,Putumayo,20472,772
Colombia,Quindio,70780,2053
Colombia,Risaralda,106274,2467
Colombia,San Andres y Providencia,10183,154
Colombia,Santander,282988,8154
Colombia,Sucre,65638,1714
Colombia,Tolima,124278,3999
Colombia,Unknown,0,300
Colombia,Valle del Cauca,540130,15009
Colombia,Vaupes,1887,19
Colombia,Vichada,3395,61
Comoros,,8081,160
Congo (Brazzaville),,24062,384
Congo (Kinshasa),,86598,1335
Costa Rica,,833909,8263
Cote d'Ivoire,,81680,796
Croatia,,1089696,15485
Cuba,,1084568,8508
Cyprus,,397205,927
Czechia,,3776874,39495
Denmark,Faroe Islands,34658,28
Denmark,Greenland,11953,21
Denmark,,3029228,5518
Diamond Princess,,712,13
Djibouti,,15580,189
Dominica,,11787,63
Dominican Republic,,577673,4375
Ecuador,,855314,35413
Egypt,,500889,24361
El Salvador,,161052,4115
Equatorial Guinea,,15999,183
Eritrea,,9723,103
Estonia,,548333,2423
Eswatini,,69633,1393
Ethiopia,,469544,7491
Fiji,,64335,834
Finland,,834038,2951
France,French Guiana,78326,394
France,French Polynesia,71868,646
France,Guadeloupe,132359,928
France,Martinique,138039,909
France,Mayotte,36800,187
France,New Caledonia,60220,310
France,Reunion,327189,702
France,Saint Barthelemy,3805,6
France,Saint Pierre and Miquelon,1930,1
France,St Martin,9939,63
France,Wallis and Futuna,454,7
France,,23962674,138323
Gabon,,47584,303
Gambia,,11978,365
Georgia,,1644711,16688
Germany,Baden-Wurttemberg,2871398,14916
Germany,Bayern,3763118,22314
Germany,Berlin,875626,4346
Germany,Brandenburg,659846,5378
Germany,Bremen,142376,711
Germany,Hamburg,419103,2364
Germany,Hessen,1351540,9538
Germany,Mecklenburg-Vorpommern,370209,1940
Germany,Niedersachsen,1420058,7798
Germany,Nordrhein-Westfalen,3807191,23126
Germany,Rheinland-Pfalz,759480,5151
Germany,Saarland,213507,1477
Germany,Sachsen,1174030,14540
Germany,Sachsen-Anhalt,537449,4911
Germany,Schleswig-Holstein,432426,2223
Germany,Thuringen,530619,6726
Germany,Unknown,37652,0
Ghana,,160894,1445
Greece,,2884100,27125
Grenada,,13967,218
Guatemala,,821834,17267
Guinea,,36459,440
Guinea-Bissau,,8125,169
Guyana,,63208,1226
Haiti,,30511,827
Holy See,,29,0
Honduras,,418792,10869
Hungary,,1836919,45220
Iceland,,177015,95
